ID, 주문일자, 가게ID, 사용자ID
45eb42f4-3ed9-43cd-b7cf-4af9aea37bc5, 2023.07.30 08:03:12, c4c87c7d-37c6-40f1-954c-5bfb6ac204f8, a5d1bdf7-da2e-4eb2-872f-82bfcbce36ce
a8e3acab-8e75-475d-be4b-04c2e8dd45ab, 2023.05.15 17:58:10, 3013a947-8391-4c94-af67-c645113f2040, 8309b144-ae38-4b2f-9106-0bc790523e8c
c8ab8552-830c-463f-92f0-e92646ce3763, 2023.02.26 17:54:12, 10da162a-12e5-4bbc-9e78-e19b1629fab9, e21d43f0-bc59-4db5-bdda-b5c3a30054bf
8d993f0d-0192-4c7d-819e-936d48d4ded4, 2023.09.12 07:26:08, cbbd26be-068b-4618-b909-67d9553d643c, dc84c72c-2c4c-4ca1-9a01-f14137416dc4
681e56cd-1038-402b-89a9-456eaed55835, 2023.04.06 01:34:22, cf738fa2-72dd-4393-875d-3bb4d0e78025, 9ea8b746-edfb-490c-bb23-6f5dc7519f00
b35877b5-a8f8-4db9-8048-dd8fe161c60e, 2023.05.16 16:05:21, 3e5fa505-d89b-490a-a13a-a77af95a380a, c5e0a5ae-5aff-4985-9dac-5a9219bfb0f7
76097776-494d-498b-8e3c-b3dba407e414, 2023.11.26 13:09:32, baf7b9c1-31aa-4631-aa85-980ca6fb17bd, 728895b9-8713-4e14-ae6e-8d155bc37dbb
f86d94b2-7bb7-4354-af96-39f300140606, 2023.10.24 19:13:34, bdecad32-cac6-4caa-91eb-66a0a00c5fbc, 421d4406-d715-4fb5-958e-76abb710e1ae
f80e1a16-97c4-4b3f-9bc5-e5874a426e5e, 2023.02.09 17:51:19, bd1e3a11-078e-4801-a702-eb91d4166c20, 9c2f27b1-df8c-4ec8-8de2-4115e17c7531
767fcd1d-59cb-43fa-bdb3-9208b1acb01f, 2023.06.27 08:15:27, cbbd26be-068b-4618-b909-67d9553d643c, 7f824e51-773f-4b42-9e0d-c119528fc44d
e7016522-70a0-49b9-959d-65f430297616, 2023.12.31 07:11:09, d99cb09a-f7ad-4a6a-9b7c-c86f62459c8c, 2fdee59c-473b-4d4f-a05f-fdd8dee13ee0
180dddc0-3af4-45b4-88a4-3a223ff797f2, 2023.03.30 01:35:56, 0ca1bfae-ed9a-4a37-b93c-0a62fdd8ac95, 1c8ec0f3-dd9e-4151-adc9-daec2370510b
de170373-57ae-4031-9692-e4aa1ea22698, 2023.08.05 22:32:36, 2000b548-ddc1-4977-8757-96cc82e6118a, 66b37492-b132-4e0a-91ba-658a93c5968c
75c3d778-c537-471b-912f-8c8e667a7aef, 2023.07.17 12:49:18, 44fcc2b8-9ed2-4b3e-9322-5dfbe3fc3064, 8e5e1554-fe32-48ef-9fba-6c5d87673e60
04689071-8408-445b-b0c7-92953260c23b, 2023.06.03 09:14:06, 3a280c96-2773-4c34-adb0-96289cd28e82, db98b144-1fd2-45bb-9a08-fd0a3d29f6b4
ebb22baf-3439-4c08-86eb-c400ba611021, 2023.12.07 02:09:43, beac5a41-0c56-404a-a52d-c1c185603395, b168d026-e652-4135-a59d-6eb930b514e8
47b25643-3e48-4823-a909-00463b8d03b4, 2023.05.05 02:04:10, 8c57ea86-9d40-4411-9428-6cec968f2f94, a8114394-967b-4141-9c55-f747b0385fb0
52758244-97fd-429a-b159-8cc6476164a6, 2023.11.20 22:00:19, 36311cc4-2c56-4900-b9d6-a64ec2ce77ad, 6d970c60-828d-4734-9b3b-fb5737a3b28f
2b03fdf9-b493-4e52-ac6b-9e1b5f4fcb86, 2023.10.26 01:43:51, bd1e3a11-078e-4801-a702-eb91d4166c20, 2959be92-34f7-4fbb-8c6c-9652fc76facb
40f3fb1e-2329-4148-9eb2-13c86a5b0431, 2023.04.15 22:31:05, 3a280c96-2773-4c34-adb0-96289cd28e82, 397cf3ae-32f4-41fb-89bd-5470f02b4790
